id,@id,addr_city,addr_postc,addr_stree,addr_unit,amenity,brand,brand_wiki,brand_wi_1,bridge,created_by,highway,junction,lanes,layer,name,name_en,name_fr,old_name,oneway,operator,ref,shop,source,surface,tunnel
way/565439302,way/565439302,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/565439303,way/565439303,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/566072482,way/566072482,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/566255283,way/566255283,,,,,,,,,,,primary,,"2",,Araben'ny Fahaleovantena,,Avenue de l'Indépendance,Avenue de la Libération,yes,,N 7,,,,
way/566974050,way/566974050,,,,,,,,,,,primary,,,,,,,,,,N 7,,yahoo,asphalt,
way/566974052,way/566974052,,,,,,,,,,,primary,,,,,,,,,,N 7,,yahoo,asphalt,
way/566991531,way/566991531,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/567053247,way/567053247,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/577818058,way/577818058,,,,,,,,,,,primary,,"2",,,,,,yes,,N 7,,,,
way/580927389,way/580927389,,,,,,,,,,,primary,,"2",,Araben'ny Fahaleovantena,,Avenue de l'Indépendance,Avenue de la Libération,yes,,N 7,,,,
way/591763195,way/591763195,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/591777236,way/591777236,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,,
way/605945681,way/605945681,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,asphalt,
way/605945682,way/605945682,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,asphalt,
way/605945683,way/605945683,,,,,,,,,,,primary,,,,,,,,yes,,N 7,,,asphalt,
way/1151215929,way/1151215929,,,,,,,,,,,primary,,,,Araben'ny 26 Jona 1960,,Avenue du 26 Juin 1960,,yes,,N 7,,,,
